CATE,bedrooms,halls,AREA,floor,subway,school,price,LONG,LAT,NAME,DISTRICT
chaoyang,1,0,46.06,middle,1,0,4.885,116.4596527,39.92834651,10AM新坐标,方庄
chaoyang,1,1,59.09,middle,1,0,4.654,116.4596527,39.92834651,10AM新坐标,方庄
haidian,5,2,278.95,high,1,1,7.1662,116.3035556,39.95480697,10号名邸,紫竹桥
haidian,3,2,207,high,1,1,5.7972,116.3035556,39.95480697,10号名邸,紫竹桥
fengtai,2,1,53.32,low,1,1,7.1268,116.4188263,39.94381285,17号旁门,蒲黄榆
fengtai,2,1,58,low,1,1,7.069,116.4188263,39.94381285,17号旁门,蒲黄榆
haidian,2,1,55.8,low,1,1,5.7348,116.3331261,40.03770842,621小区,清河
haidian,2,1,58.9,middle,1,1,5.5179,116.3331261,40.03770842,621小区,清河
haidian,2,1,66.9,middle,1,1,4.5591,116.3331261,40.03770842,621小区,清河
fengtai,2,2,53,middle,1,0,7.3585,116.3917534,39.84567113,7克拉,马家堡
chaoyang,2,2,94.19,middle,1,0,6.0516,116.3448937,39.90108403,CBD传奇,大望路
chaoyang,1,0,38.94,high,1,0,5.6498,116.3448937,39.90108403,CBD传奇,大望路
chaoyang,1,0,48,high,1,0,5.5209,116.3448937,39.90108403,CBD传奇,大望路
chaoyang,1,0,36.74,middle,1,0,5.4437,116.3448937,39.90108403,CBD传奇,大望路
chaoyang,1,0,45,low,1,0,5.3334,116.3448937,39.90108403,CBD传奇,大望路
chaoyang,1,1,92.98,middle,1,0,5.0549,116.3448937,39.90108403,CBD传奇,大望路
chaoyang,1,1,64.6,middle,1,0,6.8576,116.4561529,39.90398133,CBD总部公寓二期,双井
chaoyang,1,1,80.74,low,1,0,6.6634,116.4561529,39.90398133,CBD总部公寓二期,双井
chaoyang,1,1,81,low,1,0,6.605,116.4561529,39.90398133,CBD总部公寓二期,双井
chaoyang,1,1,78.23,low,1,0,6.7749,116.4561529,39.90398133,CBD总部公寓一期,双井
chaoyang,4,2,218.28,low,1,1,7.101,116.4559206,39.95507543,CLASS,望京
fengtai,1,0,26.28,middle,1,0,5.5176,116.4297172,39.87274752,gogo新世代,方庄
fengtai,1,1,46,low,1,0,5.2174,116.4297172,39.87274752,gogo新世代,方庄
fengtai,1,1,46.39,low,1,0,4.57,116.4297172,39.87274752,gogo新世代,方庄
fengtai,2,1,58,low,1,0,4.569,116.4297172,39.87274752,gogo新世代,方庄
fengtai,1,1,46.39,high,1,0,4.5269,116.4297172,39.87274752,gogo新世代,方庄
fengtai,1,0,46.39,middle,1,0,4.4191,116.4297172,39.87274752,gogo新世代,方庄
fengtai,1,1,46.39,low,1,0,4.4191,116.4297172,39.87274752,gogo新世代,方庄
fengtai,1,1,60.56,high,1,0,4.3429,116.4297172,39.87274752,gogo新世代,方庄
fengtai,1,1,48.44,high,1,0,3.9637,116.4297172,39.87274752,gogo新世代,方庄
chaoyang,1,0,71.77,high,1,0,3.6227,116.4596527,39.92834651,MASTER领域,国展
dongcheng,3,2,302.42,high,1,0,7.6054,116.4344963,39.9480239,NAGA上院,东直门
dongcheng,3,2,305,low,1,0,7.541,116.4344963,39.9480239,NAGA上院,东直门
dongcheng,5,3,608,middle,1,0,6.9079,116.4344963,39.9480239,NAGA上院,东直门
dongcheng,3,2,306,middle,1,0,6.8628,116.4344963,39.9480239,NAGA上院,东直门
dongcheng,3,2,306,high,1,0,6.8628,116.4344963,39.9480239,NAGA上院,东直门
dongcheng,3,1,305.48,middle,1,0,6.0561,116.4344963,39.9480239,NAGA上院,东直门
chaoyang,3,1,141,high,1,0,4.5036,116.48146,39.91318701,SOHO现代城,CBD
chaoyang,3,1,143.19,low,1,0,3.9109,116.48146,39.91318701,SOHO现代城,CBD
chaoyang,3,2,146.72,middle,1,0,3.8509,116.48146,39.91318701,SOHO现代城,CBD
chaoyang,3,2,155.3,high,1,0,7.727,116.4546743,39.9729491,UHN国际村,三元桥
chaoyang,3,2,150.4,middle,1,0,7.4469,116.4546743,39.9729491,UHN国际村,三元桥
chaoyang,2,2,119.13,middle,1,0,7.3869,116.4546743,39.9729491,UHN国际村,三元桥
chaoyang,3,2,139.01,high,1,0,7.1938,116.4546743,39.9729491,UHN国际村,三元桥
chaoyang,1,0,46.44,high,1,0,7.106,116.4546743,39.9729491,UHN国际村,三元桥
chaoyang,4,2,192.68,high,1,0,7.0065,116.4546743,39.9729491,UHN国际村,三元桥
chaoyang,2,2,116.64,middle,1,0,6.5587,116.4546743,39.9729491,UHN国际村,三元桥
chaoyang,2,2,117,middle,1,0,6.3077,116.4546743,39.9729491,UHN国际村,三元桥
chaoyang,1,0,66.36,high,1,0,6.1785,116.4546743,39.9729491,UHN国际村,三元桥
chaoyang,1,0,54.62,high,1,0,6.0418,116.4546743,39.9729491,UHN国际村,三元桥
chaoyang,1,0,53.44,low,1,0,5.8009,116.4546743,39.9729491,UHN国际村,三元桥
haidian,4,2,212,low,1,0,9.9057,116.4596527,39.92834651,Wehouse,四季青
haidian,6,2,240,middle,1,0,7.2917,116.4596527,39.92834651,Wehouse,四季青
chaoyang,2,1,79,high,1,1,4.9368,116.5356676,39.92663345,阿曼寓所,高碑店
chaoyang,3,2,135.62,middle,1,1,4.8666,116.5356676,39.92663345,阿曼寓所,高碑店
chaoyang,2,1,111.1,high,1,1,4.7705,116.5356676,39.92663345,阿曼寓所,高碑店
chaoyang,1,0,62.56,low,1,1,4.0122,116.5356676,39.92663345,阿曼寓所,高碑店
haidian,1,0,49.96,low,1,1,8.6069,116.4596527,39.92834651,艾瑟顿,苏州桥
haidian,1,1,76.17,middle,1,1,7.2207,116.4596527,39.92834651,艾瑟顿,苏州桥
haidian,1,1,89.2,middle,1,1,6.7265,116.4596527,39.92834651,艾瑟顿,苏州桥
haidian,2,1,89.2,middle,1,1,6.4462,116.4596527,39.92834651,艾瑟顿,苏州桥
xicheng,2,1,57.5,middle,1,1,11.4435,116.3875064,39.93576614,爱民里小区,西四
xicheng,2,1,57.7,middle,1,1,11.4039,116.3875064,39.93576614,爱民里小区,西四
xicheng,1,1,48.4,middle,1,1,11.1571,116.3875064,39.93576614,爱民里小区,西四
xicheng,2,1,58.3,low,1,1,11.1493,116.3875064,39.93576614,爱民里小区,西四
xicheng,2,1,51.3,middle,1,1,10.5264,116.3875064,39.93576614,爱民里小区,西四
xicheng,2,1,57.7,high,1,1,10.4853,116.3875064,39.93576614,爱民里小区,西四
xicheng,2,1,74,high,1,1,10.4055,116.3875064,39.93576614,爱民里小区,西四
xicheng,3,1,72.9,high,1,1,9.7394,116.3875064,39.93576614,爱民里小区,西四
xicheng,2,1,59.1,high,1,1,9.4755,116.3875064,39.93576614,爱民里小区,西四
chaoyang,1,1,93.78,middle,1,0,6.4513,116.5103061,39.91838667,爱这城二期,十里堡
chaoyang,3,2,133.58,low,1,0,5.989,116.5103061,39.91838667,爱这城二期,十里堡
chaoyang,3,2,163.68,high,1,0,5.8652,116.5103061,39.91838667,爱这城二期,十里堡
chaoyang,3,2,133.05,low,1,0,5.8475,116.5103061,39.91838667,爱这城二期,十里堡
chaoyang,4,2,147.09,low,1,0,5.8332,116.5103061,39.91838667,爱这城二期,十里堡
chaoyang,3,2,145.87,high,1,0,5.8272,116.5103061,39.91838667,爱这城二期,十里堡
chaoyang,2,2,94.15,high,1,0,6.0542,116.616323,39.92998098,爱这城三期,十里堡
chaoyang,2,2,87.81,high,1,0,5.6942,116.616323,39.92998098,爱这城三期,十里堡
chaoyang,2,2,88.88,low,1,0,5.6256,116.616323,39.92998098,爱这城三期,十里堡
