城区,卧室数,面积（平方米）,厅数,楼层,地铁,学区,单位面积房价(万元/平方米)
朝阳,1,46.06,无厅,中,是,否,4.885
朝阳,1,59.09,有厅,中,是,否,4.654
海淀,5,278.95,有厅,高,是,是,7.1662
海淀,3,207,有厅,高,是,是,5.7972
丰台,2,53.32,有厅,低,是,是,7.1268
丰台,2,58,有厅,低,是,是,7.069
海淀,2,55.8,有厅,低,是,是,5.7348
海淀,2,58.9,有厅,中,是,是,5.5179
海淀,2,66.9,有厅,中,是,是,4.5591
丰台,2,53,有厅,中,是,否,7.3585
朝阳,2,94.19,有厅,中,是,否,6.0516
朝阳,1,38.94,无厅,高,是,否,5.6498
朝阳,1,48,无厅,高,是,否,5.5209
朝阳,1,36.74,无厅,中,是,否,5.4437
朝阳,1,45,无厅,低,是,否,5.3334
朝阳,1,92.98,有厅,中,是,否,5.0549
朝阳,1,64.6,有厅,中,是,否,6.8576
朝阳,1,80.74,有厅,低,是,否,6.6634
朝阳,1,81,有厅,低,是,否,6.605
朝阳,1,78.23,有厅,低,是,否,6.7749
朝阳,4,218.28,有厅,低,是,是,7.101
丰台,1,46,有厅,低,是,否,5.2174
丰台,1,46.39,有厅,低,是,否,4.57
丰台,2,58,有厅,低,是,否,4.569
丰台,1,46.39,有厅,高,是,否,4.5269
丰台,1,46.39,无厅,中,是,否,4.4191
丰台,1,46.39,有厅,低,是,否,4.4191
丰台,1,60.56,有厅,高,是,否,4.3429
丰台,1,48.44,有厅,高,是,否,3.9637
朝阳,1,71.77,无厅,高,是,否,3.6227
朝阳,3,141,有厅,高,是,否,4.5036
朝阳,3,143.19,有厅,低,是,否,3.9109
朝阳,3,146.72,有厅,中,是,否,3.8509
朝阳,3,155.3,有厅,高,是,否,7.727
朝阳,3,150.4,有厅,中,是,否,7.4469
朝阳,2,119.13,有厅,中,是,否,7.3869
朝阳,3,139.01,有厅,高,是,否,7.1938
朝阳,1,46.44,无厅,高,是,否,7.106
朝阳,4,192.68,有厅,高,是,否,7.0065
朝阳,2,116.64,有厅,中,是,否,6.5587
朝阳,2,117,有厅,中,是,否,6.3077
朝阳,1,66.36,无厅,高,是,否,6.1785
朝阳,1,54.62,无厅,高,是,否,6.0418
朝阳,1,53.44,无厅,低,是,否,5.8009
海淀,4,212,有厅,低,是,否,9.9057
朝阳,2,79,有厅,高,是,是,4.9368
朝阳,3,135.62,有厅,中,是,是,4.8666
朝阳,2,111.1,有厅,高,是,是,4.7705
朝阳,1,62.56,无厅,低,是,是,4.0122
海淀,1,49.96,无厅,低,是,是,8.6069
海淀,1,76.17,有厅,中,是,是,7.2207
海淀,1,89.2,有厅,中,是,是,6.7265
海淀,2,89.2,有厅,中,是,是,6.4462
西城,2,57.5,有厅,中,是,是,11.4435
西城,2,57.7,有厅,中,是,是,11.4039
西城,1,48.4,有厅,中,是,是,11.1571
西城,2,58.3,有厅,低,是,是,11.1493
西城,2,51.3,有厅,中,是,是,10.5264
西城,2,57.7,有厅,高,是,是,10.4853
西城,2,74,有厅,高,是,是,10.4055
西城,3,72.9,有厅,高,是,是,9.7394
西城,2,59.1,有厅,高,是,是,9.4755
朝阳,1,93.78,有厅,中,是,否,6.4513
朝阳,3,133.58,有厅,低,是,否,5.989
朝阳,3,163.68,有厅,高,是,否,5.8652
朝阳,3,133.05,有厅,低,是,否,5.8475
朝阳,4,147.09,有厅,低,是,否,5.8332
朝阳,3,145.87,有厅,高,是,否,5.8272
朝阳,2,94.15,有厅,高,是,否,6.0542
朝阳,2,87.81,有厅,高,是,否,5.6942
朝阳,2,88.88,有厅,低,是,否,5.6256
